"nudi_num","temp_grp","trial_type","mean_angle","sd_angle","mean_vel","sd_vel","avg_length_m","direction_binom"
2,"16","conspecific",155.610142857143,101.933049760498,0.00137914285714286,0.000589980346726744,0.033,0
2,"16","predator",159.5565,111.6020349807,0.0013106,0.000769406149067073,0.033,0
3,"18","conspecific",194.911428571429,103.414285146133,0.00130228571428571,0.000890101438841985,0.037,1
3,"18","predator",188.177,104.840056977813,0.00094897,0.000788417182362513,0.037,1
4,"12","conspecific",310.765166666667,100.44002574555,0.000612571428571429,0.000357753107204236,0.0095,1
4,"12","predator",135.6125,105.745208417056,0.0006865,0.000250525780443185,0.0095,0
5,"14","conspecific",172.933833333333,157.111235928455,0.00126542857142857,0.000731670886201088,0.04,0
5,"14","predator",245.6982,95.6652873672926,0.0010775,0.000699965594392562,0.04,1
6,"12","conspecific ",162.2156,81.7356041838561,0.0011842,0.000457327235139129,0.034,0
6,"12","predator",163.2648,119.868367287528,0.0011406,0.000620400623253502,0.034,0
7,"16","conspecific",165.222,157.988579789806,0.000822428571428571,0.000153240396265538,0.0245,0
7,"16","predator",107.5883,112.663836513813,0.0007751,0.00153499941729993,0.0245,0
8,"12","conspecific",206.989666666667,160.83341904053,0.000829142857142857,0.000613410528268366,0.031,1
8,"12","predator",117.8607,92.5285508731104,0.00113274,0.000820367159264679,0.031,0
10,"18","conspecific",226.544,97.0873370338961,0.000618857142857143,0.000302829120446624,0.028,1
10,"18","predator",161.3361,95.6914606087363,0.0010752,0.000515838217532073,0.028,0
11,"12","conspecific",226.030285714286,99.7385570123448,0.000682142857142857,0.000315559518195553,0.0155,1
11,"12","predator",257.2603,14.4842019152669,0.0003684,0.000164900104440369,0.0155,1
12,"18","conspecific",147.4105,145.911511978665,0.000606,0.000759272458783187,0.0275,0
12,"18","predator",110.6862,113.304753023575,0.0005475,0.000940777722005694,0.0275,0
13,"18","conspecific",255.0505,15.9149632421819,0.001068,0.000644708202729473,0.045,1
13,"18","predator",170.8029,104.794947406246,0.0017657,0.000954543061132161,0.045,0
14,"16","conspecific",160.902428571429,90.123809584107,0.00138428571428571,0.000798620834999462,0.0295,0
14,"16","predator",164.0936,94.4733704198643,0.00059391,0.000341755294033611,0.0295,0
15,"14","conspecific",116.988571428571,85.7138645938861,0.000488928571428571,0.000752534408325816,0.024,0
15,"14","predator",136.7822,73.4002402990314,0.00063474,0.000589044243197779,0.024,0
16,"14","conspecific",258.8668,48.6502819231297,0.0009782,0.00118290794231842,0.043,1
16,"14","predator",189.6579,106.459960409171,0.0015758,0.000833371972437545,0.043,1
17,"12","conspecific",190.164,112.836202631661,0.00108042857142857,0.000415621565506755,0.0155,1
17,"12","predator",148.0197,100.007276834183,0.0007941,0.000266804318639044,0.0155,0
18,"14","conspecific",158.706,89.6184015534756,0.00156414285714286,0.000543830987400629,0.038,0
18,"14","predator",104.7488,66.8699615336446,0.0004724,0.000308620658918212,0.038,0
19,"16","conspecific",144.644,133.048047638187,0.00141442857142857,0.00114072664811263,0.037,0
19,"16","predator",153.1567,115.007499771923,0.0011467,0.000660730244165919,0.037,0
20,"18","conspecific",47.7568571428571,44.9638707869202,0.000660142857142857,0.000745555816951673,0.0235,0
20,"18","predator",35.6397,46.0423558091412,0.0003121,0.000476162542275919,0.0235,0
21,"14","conspecific",173.973857142857,84.5639678220548,0.00112942857142857,0.00064684332393114,0.0355,0
21,"14","predator",176.7267,103.404561676778,0.0014487,0.000882416637548399,0.0355,0
22,"16","conspecific",107.910857142857,63.2981235199185,0.000871142857142857,0.000558557197480386,0.0375,0
22,"16","predator",183.8158,102.13100731011,0.002,0.000666666666666667,0.0375,1
23,"14","conspecific",198.53575,135.020930124123,0.000742,0.000202120426149033,0.0345,1
23,"14","predator",104.0758,67.6995401507442,0.00052691,0.000633563867603996,0.0345,0
24,"18","conspecific",132.296285714286,95.6683058501513,0.000707285714285714,0.00021765240965487,0.0205,0
24,"18","predator",83.6556,105.023156886893,0.00039397,0.000649906598503029,0.0205,0
25,"12","conspecific",197.728,109.096870104814,0.000982428571428571,0.000485909407586386,0.031,1
25,"12","predator",210.1488,101.215316219983,0.0009294,0.000441354279462656,0.031,1
28,"16","conspecific",126.600571428571,112.745430196907,0.000910714285714286,0.000599459955372532,0.034,0
28,"16","predator",187.4243,111.873196914135,0.00078597,0.00056386918114439,0.034,1
