"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.68039609470873,1.68079219105956,0.999764339486503,0.317424567191353
"temp_grp14",-17.5703360448973,10.5223952180873,-1.66980384985874,0.0949581784527219
"temp_grp16",-13.519550585684,11.3045690425594,-1.19593684065139,0.231721207157562
"temp_grp18",-7.17595741413388,3.57005462191428,-2.01004135065197,0.0444268125515993
"avg_length_m",-40.9576576427886,64.313870531076,-0.636840191774777,0.524228943345104
"trial_typepredator",-0.774538032686843,0.73283924579083,-1.05690031904748,0.290557082842682
"temp_grp14:avg_length_m",453.184691786282,276.170504329633,1.64095978636939,0.100805763071318
"temp_grp16:avg_length_m",349.795523209353,321.578452002763,1.08774552844215,0.276707462606359
"temp_grp18:avg_length_m",205.387840639666,116.027700112826,1.77016212887049,0.0767001361404239
